12/19/22,23,04, complex operation, ['3+6j', '/', '7-18j'], = (-0.23324396782841822+0.25737265415549604j)
12/19/22,23,08, complex operation, ['3+6j', '/', '7-18j'], = (-0.23324396782841822+0.25737265415549604j)
12/19/22,23,11, complex operation, ['3+6j', '/', '7-18j'], = (-0.23324396782841822+0.25737265415549604j)
12/19/22,23,12, complex operation, ['2-37j', '*', '4-3j'], = (-103-154j)
12/19/22,23,13, complex operation, ['2-37j', '*', '4-3j'], = (-103-154j)
12/19/22,23,13, complex operation, ['2-37j', '*', '4-3j'], = (-103-154j)
12/19/22,23,16, complex operation, ['2-37j', '*', '4-3j'], = (-103-154j)
12/19/22,23,16, complex operation, ['2-37j', '*', '4-3j'], = (-103-154j)
12/19/22,23,17, complex operation, ['2-37j', '*', '4-3j'], = (-103-154j)
12/19/22,23,18, complex operation, ['2-37j', '*', '4-3j'], = (-103-154j)
12/19/22,23,29, rational operation, ['3/8', '*', '4/5'], = 3/10
12/19/22,23,39, complex operation, ['3+7j', '*', '-5-6j'], = (27-53j)
